code,name,ROA_now,CFO,CFO-NI,NCL_chg,CR_chg,CE_chg,ROA_chg,MR_chg,ATO_chg,return,annual_return
1101,台泥,0.07,29212549,0.114501339,0.024064534,15.35,0,0.02,0.09,0.02,1.9872,12.53147512
1102,亞泥,0.07,37271901,0.781605051,-0.104726198,-13.39,0,0.02,0.24,0,2.879,18.56606459
1103,嘉泥,0,-169188,0.441726104,0.095374696,-72.5,0,-0.01,-1.21,0,2.9509,19.06411426
1104,環泥,0.05,749879,-0.343149432,-0.01092142,0.48,0,0.02,1.42,0.01,1.1429,7.056344531
1108,幸福,0.01,262747,5.223430209,0.160912364,53.24,0,0.01,1.01,0.03,1.8958,11.92773111
1109,信大,0.13,2138329,0.485336469,0.084618536,3.28,0,0.03,0.41,0,2.0087,12.67388724
1110,東泥,0,177772,16.5959616,-0.02617784,-32.9,0,0,0.68,0.01,0.916,5.62340615
1201,味全,0.01,1428433,7.076448571,1.108809283,21.42,0,0,-0.85,0,2.7654,17.78269902
1203,味王,0.08,445126,-0.373993927,0.014334967,19.29,0,0.02,0.12,0.01,1.2547,7.768328654
1210,大成,0.07,5384159,0.691736345,-0.176344752,-3.13,0,0.02,-0.19,0.05,-1.7291,-9.936338102
1213,大飲,-0.03,-67444,0.565080175,0.452981417,108.36,0,-0.01,0.2,-0.02,-4.0667,-22.04996691
1215,卜蜂,0.06,1960317,0.893484569,0.290395576,15.68,0,0,-0.7,0,0.7126,4.352497408
1216,統一,0.06,58871291,1.093535084,0.092376681,-0.05,0,0.01,-0.66,-0.03,2.5239,16.13168036
1217,愛之味,0,225163,8.54040083,-0.078218626,-10.82,0,-0.01,-0.7,-0.03,0.1374,0.827237007
1218,泰山,0.06,361193,-0.364842694,0.417861928,38.02,0,0.01,-0.87,0,-0.2234,-1.332936127
1219,福壽,0,-111569,60.20076796,-0.054411482,-1.38,0,0,-0.18,0.01,0.7913,4.842720207
1220,台榮,0.05,188357,0.22496667,0.018414005,-89.47,0,0.01,-0.17,0.04,0,0
1225,福懋油,0.05,411734,0.041099423,-0.054254143,10.78,0,0.02,0.5,0.07,1.9891,12.54405433
1227,佳格,0.14,5026474,0.440724341,0.115432507,-7.18,0,0.03,-0.64,0.06,-2.4885,-14.03235636
1229,聯華,0.06,2821391,0.082238331,0.004407136,3.4,0,0.01,-2.46,0.01,-0.3788,-2.251384983
1231,聯華食,0.07,250589,-0.528929084,-0.063392547,7.13,0,0.03,1.13,0.02,0.4822,2.928302578
1232,大統益,0.17,1122600,0.122184792,-0.038703433,6.36,0,0.04,-0.13,-0.02,1.7094,10.70482611
1233,天仁,0.06,313431,1.005303869,-0.067041971,4.24,0,0.01,-0.05,-0.01,2.8068,18.06768506
1234,黑松,0.04,1222270,0.447226958,-0.004533538,59.83,0,0.01,0.06,0.01,0.4652,2.823863709
1235,興泰,0.01,41647,-0.15253444,-0.000496041,-3.32,0.124999574,0,-7.28,0,1.7314,10.84857822
1236,宏亞,0,140706,9.637786346,0.087745029,2.72,0,0.02,1.53,0.03,1.6074,10.04036719
1301,台塑,0.07,46580428,0.249946211,-0.255030614,-68.21,0,0.01,-1.2,-0.01,3.8175,25.2054978
1303,南亞,0.04,52299353,1.286402869,0.037487746,16.82,0,0.01,0.53,0,6.3894,45.00739736
1304,台聚,0.03,6072493,1.674148125,-0.00649305,9.88,0,0.01,0.69,0,1.5936,9.950725592
1305,華夏,0.05,2016552,2.120399599,-0.103622013,-10.73,0,0.02,1.39,-0.01,4.8952,33.20903805
1307,三芳,0.03,1345560,2.163901854,-0.019889228,-4.62,0,0.01,0.89,0,-2.4988,-14.08682581
1308,亞聚,0.05,498621,-0.351131568,-0.002470534,20.87,0,0.01,1.98,0.01,3.8376,25.35101367
1309,台達化,0.04,1602732,3.505688575,-0.002875425,21.12,0,0.01,0.15,0,5.5619,38.37039818
1310,台苯,0.11,947800,-0.103317197,-0.084199981,-2.83,0,0.02,-2.85,-0.03,0.8705,5.337993459
1312,國喬,0.07,3056778,0.400479689,-0.001345257,4.67,0,0.01,-1.48,-0.01,3.7144,24.46130648
1313,聯成,0,4387768,-34.70513362,0.027435558,12.42,0,0,0.31,0.02,-0.408,-2.42316582
1314,中石化,0,-8403512,-22.32584196,0.20076944,34.85,0,-0.01,-1.6,-0.04,3.4963,22.89916835
1315,達新,0.02,291393,0.333313505,-0.679141361,-2.5,0,-0.01,-0.92,-0.01,3.5975,23.62196748
1316,上曜,-0.01,-2484463,25.51479707,-0.935983422,-30.89,0.007645833,0.01,5.84,0.03,0.0307,0.184341431
1319,東陽,0.05,5227191,1.825041372,-0.09652037,-7.23,0,0.01,0.16,0.01,1.4953,9.313950502
1321,大洋,0,364954,32.46052993,0.120214275,56.7,0,0,-0.46,0,0.1665,1.003167581
1323,永裕,0.07,740712,1.104917362,0.026795995,-15.83,0,0.02,0.61,0.01,1.3793,8.566473014
1324,地球,0,10806,3.137059724,-0.015495149,30.48,0,0,0,0.01,5.5967,38.64431861
1325,恒大,0.02,100846,1.993884337,-0.007138952,-736.14,0,0,0.95,-0.01,2.8987,18.70235304
1326,台化,0.06,59012528,0.892053255,-0.056476254,-14.14,0,0,-1.02,-0.04,5.5532,38.30198859
1339,昭輝,0.08,643939,0.429577746,-0.076759434,-2.74,0,0.02,1.05,0.02,3.0598,19.82178139
1342,八貫,0.12,359017,0.988099655,-0.256018557,-1.15,0,0.02,-0.32,0.02,0,0
1402,遠東新,0.03,43949286,1.900495164,0.158115883,21.89,0,0,-0.51,-0.01,2.7822,17.89827634
1409,新纖,0.01,4765184,1.227995826,0.08379021,1.05,0,0,-0.01,-0.01,0.9197,5.646643838
1410,南染,0.04,95409,0.551921012,-0.013129053,624.21,0,0.01,0.99,0,0,0
1413,宏洲,0.02,5974,-0.904842306,0.919689799,-5.02,0,-0.01,-0.92,-0.21,5.1637,35.2680239
1414,東和,-0.01,-21499,-0.348732241,-0.001638992,33.22,0,0,0.02,-0.01,2.5318,16.18538201
1416,廣豐,-0.04,-93777,-0.649134031,-0.012375317,2.06,0,-0.02,1.23,0,3.7563,24.7633011
1417,嘉裕,-0.04,-36836,-0.793450712,-0.111573558,-274.35,-0.298768408,-0.02,0.36,0.01,0.8905,5.463370319
1418,東華,-0.09,-267777,0.191581674,-0.006596477,-17.26,0,-0.03,-13.36,-0.01,-0.2846,-1.695496431
1419,新紡,0.03,144898,-0.613489896,0.185140434,4.97,0,0,0.49,0.02,1.0668,6.573957016
1423,利華,-0.01,-89851,1.365745129,0.001906832,845.22,0,0,-0.87,-0.02,-0.464,-2.751904701
1432,大魯閣,-0.04,288657,-2.120462847,-0.023764187,-5.89,0,-0.02,0.89,0,1.366,8.481043705
1434,福懋,0.03,6751805,1.596759188,-0.161722772,-25.37,0,-0.01,-2.17,-0.1,1.2147,7.513141799
1435,中福,-0.01,-3196,-0.65630713,0.005016327,6293.62,0,0,0.14,0,3.1324,20.32912154
1436,華友聯,0.02,-1180358,-6.029627452,0.178060928,38.22,0,0.02,0.9,0.13,0.2668,1.611515395
1437,勤益控,0.02,276887,0.13628697,-0.008308513,-43.17,0,0,-5.28,-0.01,2.4149,15.39284253
1438,三地開發,-0.02,-10677,0.01617969,0,38222.98,0,0,32.73,0,1.4497,9.019604618
1439,雋揚,-0.05,-159512,0.098749105,-0.388557118,11014.76,0,0.02,-0.36,-0.01,-0.2498,-1.489471111
1440,南紡,0,2346985,-74.12163131,0.064593497,0.07,0,0,0.34,0,4.4452,29.81680467
1441,大東,-0.12,-242005,-0.290846542,-0.159209853,-6.06,0,-0.03,1.82,0.01,1.3869,8.615314928
1442,名軒,-0.01,-1981420,25.95919561,0.119589889,15.4,0.003338767,0,2.17,0,5.5531,38.30120244
1443,立益物流,0,-141990,9.696045198,-0.055408578,-0.82,0,0,0.15,0.01,1.2651,7.834759849
1444,力麗,0,1102189,-22.40921099,-0.056275763,-1.34,0,-0.02,-0.82,0.01,-3.2547,-18.00653233
1445,大宇,-0.02,110845,-3.76974013,0.025273423,-87.7,0,-0.01,0.16,0,5.308,36.38549635
1446,宏和,0,-502549,-1745.961806,2.339400841,21.52,0,0.01,8.48,0.02,0.7051,4.305879723
1447,力鵬,-0.01,469442,-3.007526482,-0.151240257,-7.83,0,-0.02,-0.91,0,-0.1871,-1.11736212
1449,佳和,-0.04,-7714,-0.96905525,-0.333133514,-26.62,0,-0.01,-0.41,0.02,8.6442,64.45204488
1451,年興,-0.01,-11725,-0.835369278,0.01093912,5.15,0,0,-0.57,-0.01,-0.0422,-0.252933024
1452,宏益,0.07,130582,-0.281983889,0.038432512,-216.07,0,0.01,0.38,-0.02,2.0421,12.89542067
1453,大將,-0.05,15649,-1.240853893,0.666666667,348.59,0,-0.03,-145.51,0.03,2.4144,15.38946242
1454,台富,0.02,130177,2.969779214,0.035470523,-14.35,0,0,-0.49,-0.02,0.7501,4.585846352
1455,集盛,-0.03,1749437,-7.165373284,-0.012241911,13.18,0,-0.02,-1.57,0,-0.6983,-4.117334024
1456,怡華,0,61597,1.966671483,-0.010302878,6.91,0,0.01,0.1,0.05,3.2488,21.1462783
1457,宜進,0.01,58932,-0.355265029,-0.001484431,3.64,0,-0.02,1.96,-0.07,0.8547,5.239033583
1459,聯發,-0.03,532792,-3.765121988,0.139097036,15.9,0,-0.01,-0.3,-0.02,5.2829,36.1905689
1460,宏遠,-0.02,31576,-1.116107017,0.158905434,6.11,0,-0.02,-1.58,0.03,1.3098,8.120674909
1463,強盛,0.05,270946,1.329375758,0.121731788,87.99,0,0,-1.54,-0.01,0.0183,0.109850246
1464,得力,0.03,603988,0.068364291,-0.018303113,-1.28,0,0.01,0.6,0.04,3.6029,23.66063514
1465,偉全,-0.13,5130,-1.017852917,0.321139486,-8.26,0,-0.04,-3.86,0.01,1.294,8.019541115
1466,聚隆,-0.03,63346,-1.625651865,0.014252857,-0.92,0,-0.03,-1.5,-0.02,8.1334,59.86712007
1467,南緯,-0.03,131873,-1.612929464,0.007572356,-3.83,0,-0.02,-1.05,-0.01,8.2702,61.08445576
1468,昶和,0.02,123119,1.420314927,0.035214383,-6.54,0,0,-11.92,-0.01,-0.9132,-5.355622568
1470,大統新創,0.06,93946,0.293558781,-0.083652561,15.03,0,0.01,-0.11,-0.01,-1.4049,-8.138826117
1471,首利,-0.21,-160381,-0.408759797,-0.202160393,3.76,0,-0.03,1.57,0,4.3082,28.79847065
1472,三洋實業,-0.1,-237324,0.532249525,-0.003707571,-3.2,0.0000738,-0.03,7.74,0.06,-3.5976,-19.73483987
1473,台南,0.02,385317,3.403773844,-0.088616995,-7.95,0,0,-0.62,-0.07,0.6995,4.27108317
1474,弘裕,-0.01,168477,-6.526735337,0.861338959,26.73,0,0,0.56,0.02,-3.1215,-17.32685955
1475,業旺,-0.55,-30994,-0.093026658,0.074766355,-9.26,0,-0.05,6.21,-0.01,7.7051,56.10528616
1476,儒鴻,0.18,5867572,0.361588432,0.511201075,12.39,0,0.04,-0.1,0.01,2.9559,19.09881388
1477,聚陽,0.13,1690909,-0.117629317,-0.012516361,6.56,0,0.03,-0.28,-0.05,2.0915,13.22374327
1503,士電,0.04,1410052,-0.18643837,0.046613713,2.9,0,0.01,-0.14,0,1.5091,9.403159286
1504,東元,0.03,5994387,0.745200572,0.015123726,2.64,0,0.01,-1.13,0,-0.1465,-0.875786944
1506,正道,-0.11,16001,-1.051357354,0.012909769,-6.14,0.002493173,-0.04,-3.38,-0.01,0.8381,5.135146549
1512,瑞利,-0.08,65565,-1.305314185,-0.016930137,-5.53,0,-0.05,-1.9,0.04,1.4553,9.055716743
1513,中興電,0.03,1666354,1.55534223,1.144864884,37.24,0,0.01,0.12,0.04,-1.2336,-7.177054599
1514,亞力,0.05,353450,0.207422514,-0.034810236,6.08,0.02999995,0.01,-1.04,0.04,3.6756,24.18219859
1515,力山,0.08,1563538,2.009680406,-0.665676292,0.7,0,0.03,1.03,0.04,2.4428,15.58158384
1516,川飛,0.03,86786,5.210533849,-0.333333333,-79.28,0,0.01,0.05,0.09,-0.3854,-2.290234185
1517,利奇,0,70453,24.62859222,-0.069798128,-13.41,0,0,0.29,0,2.3507,14.95950986
1519,華城,0.04,696024,0.967375482,0.063318506,14.37,0,0.02,-0.26,0.25,6.1287,42.88843079
1521,大億,0.1,389234,0.079367632,0.029131495,6.76,0,0.02,-0.66,-0.01,1.5523,9.682813885
1522,堤維西,0.03,1865140,1.910397688,0.034443802,4.97,0,0,0.19,0,0.6113,3.724312124
1524,耿鼎,0.03,375157,1.451093384,-0.020581226,0.14,0,0.01,0.05,0,1.5875,9.911120808
1525,江申,0.06,-78222,-1.267253868,0.147475164,-2.57,0,0.02,0.13,0,5.4497,37.49031
1526,日馳,0.05,159540,0.991561392,8.608377809,88.77,0,0.01,0.43,0.01,4.1322,27.50002295
