code,name,ROA_now,CFO,CFO-NI,NCL_chg,CR_chg,CE_chg,ROA_chg,MR_chg,ATO_chg,return,annual_return
1101,台泥,0.01,13390966,1.782966894,-0.116534756,-53.44,0,0.01,6.28,0.01,3.4047,14.33024019
1102,亞泥,0.02,-4658994,-1.865336942,-0.094759139,-2.46,0.000179163,0.01,2.58,0.02,-1.0922,-4.297745681
1103,嘉泥,0,-43791,-0.443039746,-0.05981581,-42.81,0,0,0.63,0,1.0101,4.102031404
1104,環泥,0.02,536023,-0.18341707,-0.008283804,-5.95,0,0.01,0.62,0,0.1505,0.603360379
1108,幸福,0.03,365621,0.437777236,0.242816991,22.2,0,0.01,1.21,0.05,-0.4344,-1.726310552
1109,信大,0.03,109192,-0.699511809,-0.161705091,-60.28,0,0.02,1.6,0.07,0.2821,1.133183811
1110,東泥,0.01,166821,1.654609974,0.037725156,25.88,0,0,3.6,0.02,-0.2269,-0.904515653
1201,味全,0.01,499115,1.357418489,-0.089753399,-1.64,0,0,-0.27,0.04,0.2602,1.044869294
1203,味王,0.03,401527,0.584507987,-0.008356918,-33.92,0,0.01,1.4,0,1.531,6.266078596
1210,大成,0.03,4609612,1.169599795,0.065174656,-1.27,0,0.02,0.87,0,-1.4056,-5.504964239
1213,大飲,-0.06,11987,-1.200535341,-0.028367631,-22.21,0,-0.04,-18.72,-0.11,0,0
1215,卜蜂,0.04,2463145,1.433079437,-0.014687262,-10.56,0,0.02,1.88,0.02,0.3984,1.603148673
1216,統一,0.01,22777607,2.209778226,0.30912168,-23.98,0,0,0.37,-0.06,1.2598,5.135228051
1217,愛之味,0.01,-146314,-2.558571322,0.084380696,11.49,0,0,1.2,-0.01,-0.4354,-1.730258591
1218,泰山,-0.03,-598101,0.307753362,0.010129133,-219.88,0,-0.03,0.58,0,1.0493,4.263725166
1219,福壽,0.02,520077,2.416457002,-0.055190976,-13.97,0,0.01,-0.33,-0.07,-0.0229,-0.09156854
1220,台榮,0.01,294959,7.663797915,-0.024052753,-75.41,0,0.01,2.91,0.1,-1.4706,-5.753907627
1225,福懋油,0.01,863660,6.813523441,-0.036949352,-16.28,0,0.01,-0.2,-0.08,-0.5613,-2.226367176
1227,佳格,0.01,-676008,-2.633800911,-0.11552153,-60.61,0,0,-0.84,-0.01,0.6777,2.738481349
1229,聯華,0.04,967076,-0.667993786,-0.05824622,9.87,0,0.02,10.02,0.02,1.7185,7.053233315
1231,聯華食,0.02,456694,0.8481779,0.127431114,-13.02,0,0,-0.58,-0.07,-0.1166,-0.4655849
1232,大統益,0.08,1056178,0.734718246,-0.00583386,-121.67,0,0.03,-0.49,-0.16,-0.7067,-2.796975435
1233,天仁,0.03,148968,1.436227452,-0.044502618,2.41,0,0.01,-0.34,-0.02,-0.8602,-3.39665741
1234,黑松,0.02,604126,0.539503996,-0.000100582,-33.2,0,0.01,3.12,-0.03,-0.1305,-0.520979074
1235,興泰,0.02,-27486,-1.389960842,0.028408149,6.99,0,0.01,30.19,0,-0.8379,-3.30971023
1236,宏亞,0,128889,-8.666944263,0.232442813,11.47,0,-0.01,-2.8,-0.04,-1.6609,-6.479909758
1301,台塑,0.01,-3976866,-2.260218348,0.083019573,4.89,0,0,-2.27,-0.01,-0.9992,-3.937294006
1303,南亞,0,16044665,4.235354406,-0.010615328,-1.72,0,0,-0.71,0,0.5344,2.154796129
1304,台聚,-0.01,953792,-1.921676193,-0.075111041,-52.62,0,-0.01,-0.72,0,-0.0245,-0.097963991
