code,name,ROA_now,CFO,CFO-NI,NCL_chg,CR_chg,CE_chg,ROA_chg,MR_chg,ATO_chg,return,annual_return
1101,台泥,0.03,13237092,0.144840965,0.181216402,-5.84,0,0.02,2.28,0.03,-1.8199,-7.0832779
1102,亞泥,0.03,14830427,0.456155945,0.094313376,0.94,0,0.02,4.1,0.04,-2.7851,-10.68357428
1103,嘉泥,-0.02,98670,-1.134966925,-0.001756468,-64.11,0,-0.02,-1.1,0,0.1921,0.770616982
1104,環泥,0.02,-104284,-1.227095841,0.0076899,-6.8,0,0.01,0.74,0,-1.0674,-4.20172459
1108,幸福,0,-27744,0.410759687,-0.083715852,-1.58,0,0,2.38,0.02,-1.2449,-4.887382764
1109,信大,0.06,959527,0.624021299,-0.046696196,-47.18,0,0.04,3.66,0.15,-3.3072,-12.58689515
1110,東泥,0,-81013,1556.942308,-0.016685498,-67.36,0,0,-4.01,-0.02,2.0857,8.607456832
1201,味全,0,-63191,-0.153253471,-0.206736461,-7.61,0,0.01,0.52,0.06,-1.2281,-4.822644851
1203,味王,0.04,123716,-0.652884864,-0.021754208,-19.46,0,0.02,0.44,0.03,0.7515,3.040055218
1210,大成,0.02,1917099,0.762114023,-0.079798708,-12.15,0,0.01,0.14,0,-1.5837,-6.185896203
1213,大飲,-0.02,-75309,2.275728578,-0.000256783,-5.38,0,-0.01,-3.4,-0.05,-20.4869,-60.02810453
1215,卜蜂,0.04,719443,0.101106244,0.398320056,5.53,0,0.02,0.93,-0.02,-3.7532,-14.18855875
1216,統一,0.03,24078270,0.508083262,0.057937204,-3.32,0,0.02,0.49,0.02,-2.5409,-9.782749745
1217,愛之味,0,-212875,-11.69347466,-0.063901338,-0.8,0,0,1.49,0.01,-1.1478,-4.512756439
1218,泰山,0.02,27444,-0.879450755,0.697399601,-26.48,0,0.01,-0.19,0.01,-0.5889,-2.33487338
1219,福壽,0,-170684,-13.41970458,-0.052844795,-14.68,0,0,-0.62,-0.03,-0.8283,-3.272261988
