code,name,ROA_now,CFO,CFO-NI,NCL_chg,CR_chg,CE_chg,ROA_chg,MR_chg,ATO_chg,return,annual_return
1101,台泥,0,7958319,10.24267553,-0.000654959,-11.78,0,-0.01,0.49,-0.02,-1.1304,-4.44550789
1102,亞泥,0.01,-7199889,-4.825138026,0.008454996,-13.99,0,-0.03,-2.6,-0.05,-0.8131,-3.212946693
1103,嘉泥,0,62488,-2.357667405,-0.015358617,0.76,0,-0.01,3.74,0.01,0.5505,2.220249839
1104,環泥,0.01,127345,-0.478145592,-0.008438786,7.94,0,-0.05,-0.59,-0.01,0.0311,0.124458045
1108,幸福,0.01,144924,0.310710959,0.126709695,-2.63,0,-0.05,-5.45,-0.02,2.0675,8.530026705
1109,信大,0.01,-41000,-1.291449856,-0.061424352,28.12,0,-0.03,0.27,-0.09,-1.4244,-5.577016957
1110,東泥,0,138142,16.69689982,0.104304328,0.45,0,0,2.5,0.01,2.0613,8.503658866
1201,味全,0.01,23261,-0.849109355,0.008142097,7.17,0,-0.02,-0.48,-0.07,-0.2772,-1.104198124
1203,味王,0.01,225894,0.83291546,0.001369431,3.38,0,-0.07,-2.75,-0.02,-0.9988,-3.93574148
1210,大成,0.01,2889937,2.198598563,0.062467502,1.58,0,-0.01,1.84,-0.14,2.1646,8.943608431
1213,大飲,-0.02,9712,-1.505096734,-0.027448397,-11.16,0,0.05,-1.25,-0.02,-1.3609,-5.333481823
1215,卜蜂,0.02,1408581,2.392192986,-0.008991842,1.37,0,-0.04,0.78,-0.05,-2.3427,-9.046618205
1216,統一,0.01,2971311,-0.604617599,-0.022095377,0.14,0,-0.03,0.54,-0.03,-3.7207,-14.07259501
1217,愛之味,0,-145385,-3.323371954,-0.035006011,-8.45,0,-0.01,-2.81,-0.01,5.8207,25.3956642
1218,泰山,0,487128,-7.620026093,0.00026068,154.68,0,0.01,-2.08,-0.14,-2.0505,-7.953157879
1219,福壽,0.01,635045,9.401025288,-0.054016311,10.31,0,-0.02,0.24,-0.03,0.7001,2.8299459
1220,台榮,0,205349,-33.03072844,-0.022041969,132.45,0,-0.02,-0.94,-0.24,-1.6921,-6.598537587
1225,福懋油,0.01,911444,13.63461785,-0.045491717,13.9,0,-0.03,-0.59,0.04,-0.1784,-0.711692677
1227,佳格,0.01,-319428,-2.263360228,-0.137738114,42.82,0,-0.04,0.87,-0.15,-1.3909,-5.448596424
1229,聯華,0.02,730096,-0.368362951,-0.090830532,-13.49,0,-0.05,-7.24,-0.01,1.4372,5.873924337
1231,聯華食,0.02,373869,0.972059731,0.205316173,21.27,0,-0.07,-1.56,-0.06,2.0538,8.471768708
1232,大統益,0.05,1071702,2.020929702,0.010322748,49.39,0,-0.11,1.34,-0.11,-0.6838,-2.707272728
1233,天仁,0.01,56404,0.800664028,-0.040638987,-6.01,0,-0.01,2.19,0.11,-1.386,-5.42980155
1234,黑松,0.01,570149,2.009241764,-0.003351614,-56.31,0,-0.03,-4.97,0.03,2.4651,10.23103189
1235,興泰,0.01,-137823,-4.550674979,-0.052162967,0.23,0,-0.04,-49.98,-0.01,-1.4005,-5.485410914
1236,宏亞,0,-10533,-3.409746054,-0.163301863,-12.86,0,0.01,4.04,-0.07,0.2144,0.860361986
1301,台塑,0,-2889592,-2.45602413,0.051010407,-24.26,0,-0.07,-10.27,-0.08,-1.3423,-5.262058002
1303,南亞,0,10936577,5.456768031,0.210488819,-2.75,0,-0.05,-7.16,-0.14,-2.0744,-8.042963931
1304,台聚,-0.01,1003889,-2.696982452,0.054185299,20.94,0,-0.01,-3.2,-0.14,2.881,12.03164366
