code,name,ROA_now,CFO,CFO-NI,NCL_chg,CR_chg,CE_chg,ROA_chg,MR_chg,ATO_chg,return,annual_return
1101,台泥,0.02,19954188,1.483778295,0.029078401,4.83,0,0.01,1.9,-0.01,1.7351,5.296139525
1102,亞泥,0.02,3933530,-0.48192091,-0.05129569,3.14,0,0.01,0.19,0,2.0781,6.364752416
1103,嘉泥,0,-159141,-2.162223943,0.023868035,31.57,0.019962944,0.01,1.52,0.01,-2.4817,-7.261863391
1104,環泥,0.04,1340510,0.104886355,0.099657952,46.93,0.030000037,0.02,-0.04,0.01,1.3362,4.062401482
1108,幸福,0.05,498511,0.123194986,-0.053028715,3.26,0,0.02,-0.52,0.01,0.0027,0.008100219
1109,信大,0.05,247885,-0.534543331,0.193496458,142.48,0,0.02,-1.12,0.01,0.5572,1.680931455
1110,東泥,0,243086,11.20678919,0.021389364,28.33,0,0,-5.89,0,-3.0067,-8.751610784
1201,味全,0.02,1077379,2.675167405,-0.020388938,-1.55,0,0,0.23,0.08,1.0652,3.229760394
1203,味王,0.04,771285,0.744925523,0.025320941,4.06,0,0.02,0.82,0,3.5267,10.95761476
1210,大成,0.06,6151087,0.706696755,0.050721952,2.46,0,0.02,0.45,-0.02,1.0327,3.130204213
1213,大飲,-0.14,-32191,-0.757215799,-0.293146481,5.95,0,-0.08,-41.17,-0.08,-2.0991,-6.166038286
1215,卜蜂,0.06,3220066,0.946394258,-0.041226161,2.08,0,0.02,0.62,-0.02,2.1138,6.476388991
1216,統一,0.02,56720124,2.655515821,0.017444657,3.98,0,0.01,-0.19,0.05,4.9261,15.51824774
1217,愛之味,0.01,48838,-0.749976963,0.021101667,2.16,0,0.01,0.59,0.04,-0.007,-0.02099853
1218,泰山,-0.02,-1002973,2.532627493,-0.001169596,71.29,0,0.01,1.66,0.08,2.15,6.589668838
1219,福壽,0.03,864599,2.425606098,0.179202024,19.78,0.029966098,0.01,0.51,-0.01,-0.5119,-1.527852166
1220,台榮,0.03,380286,3.658940276,0.013219537,34.64,0,0.02,1.06,0.05,-0.4145,-1.238352814
1225,福懋油,0.03,1482919,4.750132807,-0.148045438,6.18,0.050000229,0.02,1.1,0.06,3.4444,10.69320314
1227,佳格,0.03,2098703,1.222870313,0.014102319,15.5,0,0.02,0.29,0.1,-0.1278,-0.382910224
1229,聯華,0.05,2976683,-0.257686889,0.156667546,5.58,0.069999976,0.01,-2.97,-0.01,1.8414,5.626546992
1231,聯華食,0.04,944108,1.199974368,0.051969951,-13.31,0.099999866,0.01,0.1,-0.02,-1.544,-4.56085
1232,大統益,0.11,1633471,0.865904909,2.296238675,92.37,0,0.03,-0.21,-0.06,1.0257,3.108769725
1233,天仁,0.03,208911,1.587806117,0.103516452,1.93,0,0.01,-0.02,0.01,-0.1252,-0.375129945
1234,黑松,0.03,764960,-0.007088332,-0.000761446,54.24,0,0.02,2.48,0.04,0.6108,1.843615087
1235,興泰,0.03,-35269,-1.234474827,-0.006961102,12.98,0.11999988,0.02,-0.05,0,1.8347,5.605701305
1236,宏亞,0,207793,19.15646522,-0.059112748,-35.37,-0.2,0.01,-0.12,0.03,-1.0287,-3.054462149
1301,台塑,0.02,8426169,-0.133679443,0.276467921,21.9,0,0.01,0.95,0,0.4126,1.242914187
1303,南亞,0.01,25212933,2.265841049,0.168502941,24.35,0,0.01,0.04,0.01,1.7288,5.276579178
1304,台聚,-0.01,3550722,-5.339457446,-0.056528198,0.22,0,0,-0.74,0.01,-0.4045,-1.208598011
1305,華夏,0.02,1079378,1.704808061,-0.129600015,-29.03,0,0.01,0.11,-0.01,0.3702,1.114716515
1307,三芳,0.04,1392804,1.014670252,-0.044503051,3.31,0,0.02,0.3,0.02,0.5514,1.663338024
