code,name,ROA_now,CFO,CFO-NI,NCL_chg,CR_chg,CE_chg,ROA_chg,MR_chg,ATO_chg,return,annual_return
1101,台泥,0.01,7608468,1.146420427,-0.051496449,-24.74,0,-0.06,-2.95,-0.11,-1.9295,-7.497481313
1102,亞泥,0.01,2153442,0.243284438,0.237856741,17.67,0,-0.06,-6.79,-0.15,0.7986,3.232869851
1103,嘉泥,0,14560,-1.097730583,-0.000224349,-17.02,0,0,-14.47,0,5.3362,23.11489204
1104,環泥,0,-28245,-1.588547853,-0.022451438,-11.67,0,-0.05,1.72,0,3.5001,14.75274355
1108,幸福,0.01,89197,-0.051539705,-0.068302693,-31.3,0,0.01,8.54,0.09,3.0254,12.66194314
1109,信大,0.02,304424,0.811702533,0.081130706,91.85,0,-0.11,-5.57,-0.3,2.2448,9.286097748
1110,東泥,0,74961,-10.17852333,-0.032747105,42.25,0,0,-2.91,-0.01,1.5361,6.287431595
1201,味全,0,-471016,-6.328777817,-0.013888589,-5.62,0,0,-2.2,-0.16,-0.0505,-0.201847037
1203,味王,0.02,229165,0.041077034,0.003654002,12.43,0,-0.05,3.08,-0.02,1.9665,8.101084168
1210,大成,0.01,911561,0.468343726,0.194443394,-6.32,0,-0.05,-0.3,-0.19,-2.825,-10.83011692
1213,大飲,-0.01,-22854,0.809357929,0.071089669,52.85,0,0.02,-8.73,-0.08,0.3926,1.579672315
1215,卜蜂,0.01,222660,0.407886084,-0.225278643,-13.96,0,-0.05,-2.48,-0.09,-2.2717,-8.781825468
1216,統一,0.01,9900996,0.654387445,-0.034521454,2.27,0,-0.05,-0.09,-0.1,-1.9945,-7.742476033
1217,愛之味,0,-64328,-3.206035665,-0.052905932,-1.01,0,0,0.62,0.01,2.111,8.715162036
1218,泰山,0.02,152365,0.097469622,-0.748636004,-39.59,0,-0.05,-0.08,-0.06,0.6265,2.52964865
1219,福壽,0,399529,-14.30787423,-0.019078654,22.07,0,0,1.05,-0.05,0.5857,2.363463156
1220,台榮,0.01,238242,6.12297067,-0.028030933,57.83,0,-0.04,2.57,-0.18,0.432,1.739229723
1225,福懋油,0.01,273723,2.146856282,-0.168372468,-13.63,0,-0.04,-0.33,-0.19,1.8055,7.419954691
1227,佳格,0.02,241250,-0.605302122,-0.12752209,12.17,0,-0.11,-2.39,-0.22,0.0149,0.059613322
1229,聯華,0,174827,-0.208988449,0.157346267,-6.05,0,-0.05,-5.11,-0.04,0.0611,0.244624084
1231,聯華食,0.01,182046,0.682681998,0.315093579,11.38,0,-0.06,-1.15,-0.07,0.4352,1.752196949
1232,大統益,0.04,-270087,-2.025472894,0.101236139,-27.67,0,-0.13,1.08,-0.37,0.8456,3.425544728
1233,天仁,0,65774,8.493937644,-0.057581041,9,0,-0.06,-0.96,-0.16,0.0027,0.010800437
1234,黑松,0,50653,-0.53308322,-0.002599892,6.52,0,-0.03,-4.48,-0.06,1.2529,5.106574669
1235,興泰,0,-13703,-0.078108181,0,-6.46,0,-0.02,-65.06,-0.01,1.0834,4.40453537
1236,宏亞,0.01,-17825,-2.296269362,0.017087452,14.58,0,0,2.12,0,4.3377,18.51273915
1301,台塑,0,-1953189,3.4429636,-0.001882398,-29.7,0,-0.08,-2.83,-0.07,0.2569,1.031566643
1303,南亞,0,5019312,3.372981031,0.033444881,-10.69,0,-0.04,1.65,-0.03,-0.206,-0.821457335
1304,台聚,0.01,2560022,2.692692714,0.000545924,45.08,0,-0.02,4.1,-0.15,2.0242,8.345977498
1305,華夏,0.03,112700,-0.674960416,-0.008841382,25.93,0,-0.02,7.03,-0.03,0.6176,2.493380159
1307,三芳,0.01,164468,0.229878783,0.006034015,-17.94,0,-0.02,0,0,-1.1847,-4.655252282
1308,亞聚,0.01,1413018,7.683418753,-0.120397032,-33.42,0,-0.04,2.71,-0.1,1.379,5.631151021
1309,台達化,0.02,521475,2.633845511,-0.012884531,37.06,0,-0.03,3.6,-0.59,1.4867,6.080735906
1310,台苯,-0.04,-544952,0.76196219,-0.06023802,17.09,0,-0.15,-29.07,-0.45,-0.6502,-2.57554417
1312,國喬,0,-243394,-5.970673529,-0.006986086,153.35,0,-0.07,-9.19,-0.2,-0.7015,-2.776611707
1313,聯成,-0.02,-1950996,1.314963881,-0.0132397,-5.56,0,-0.02,-9.8,-0.57,-0.7643,-3.022328977
1314,中石化,0,-3120117,110.087585,-0.067436779,-11.48,0.158738546,0,-0.84,-0.1,0.9389,3.808823838
1315,達新,0,25211,2.367753139,-0.170024704,-42.47,0,-0.02,0.28,-0.03,-1.2217,-4.797974099
1316,上曜,-0.01,-93621,0.482376971,-0.036845589,-0.15,0,0,14.46,-0.02,1.3833,5.649073583
1319,東陽,0.01,1187013,2.660366711,-0.053094299,4.09,0,-0.04,0.9,-0.06,2.8999,12.11399051
1321,大洋,0,-66399,33.52886115,-0.01171607,33.41,0,0,0.51,-0.03,-1.4456,-5.658218454
1323,永裕,0.02,226107,1.792582163,-0.028666387,-94.66,0,-0.05,2.48,-0.19,-0.6051,-2.398519727
1324,地球,0.01,55667,6.001257703,-0.00669245,-3.87,0,0,0.85,0.02,1.9223,7.913769234
1325,恒大,0.06,140954,0.044490552,-0.0032254,-1272.75,0,0.04,32.27,0.44,-1.7373,-6.770195628
1326,台化,-0.01,-3275567,-0.24955829,0.008795152,-51.7,0,-0.07,-7.52,-0.06,-2.713,-10.41831116
1339,昭輝,0.01,242900,2.317263701,0.034799086,34.46,0,-0.07,1.22,-0.07,0.3329,1.338264114
1342,八貫,0.04,88615,0.499280941,-0.006235664,45.97,0.042041325,-0.08,1.48,-0.04,0,0
1402,遠東新,0,5927833,17.86349042,0.101467121,-18.95,0,-0.03,0.3,-0.09,1.6409,6.726927702
1409,新纖,0,367641,0.056430548,-0.115903449,0.77,0,-0.01,0.2,-0.06,0.4454,1.793538253
1410,南染,0.01,25034,0.450153508,-0.00000581,-556.51,0,-0.03,-0.32,0.01,1.1993,4.884191289
1413,宏洲,-0.01,-45289,0.161733019,-0.021351645,-4.66,0,-0.04,-9.37,-0.48,-0.0935,-0.373475792
1414,東和,0,48319,-3.835122924,-0.00565896,0.62,0,0,-2.57,0.02,7.3548,32.82684857
1416,廣豐,0,-10965,-0.658963673,-0.000283507,-2.49,0,0.03,-3.87,-0.01,-0.7659,-3.028583199
1417,嘉裕,-0.02,11692,-1.21478828,-0.007675845,312.27,0,0.02,1.99,-0.04,0.748,3.025737957
1418,東華,-0.02,-63515,0.068215073,0.124296764,255.95,0,0.07,-41.18,-0.02,-11.111,-37.57018015
1419,新紡,0,-37637,-2.271778063,-0.171056409,-17.42,0,-0.03,-3.75,0.01,0.9089,3.685466972
1423,利華,-0.02,-71271,0.55671319,0.003354458,754.3,0,0,-73.44,-0.09,-2.9743,-11.37685892
1432,大魯閣,0,54372,11.21568187,0.013462121,-3.31,0,0.05,-33.33,-0.05,-0.1113,-0.44445729
1434,福懋,0,-335679,-1.93454179,0.001153289,-14.88,0,-0.03,1.68,0.03,1.2941,5.277751382
1435,中福,0,-1962,-0.584057664,-0.000325519,-3866.15,0,0,-0.9,-0.01,-0.9871,-3.890321785
1436,華友聯,0,-719261,-19.65013224,-0.176757647,-20.15,0,-0.02,0,-0.08,1.0337,4.199355101
1437,勤益控,0.01,52654,-0.493604416,0.108485017,202.69,0,-0.01,14.58,0.01,2.1993,9.091693761
1438,三地開發,0.07,49150,0.036897956,0,-41997.47,0,0.09,390.27,0.56,-0.8476,-3.347537513
1439,雋揚,0,-7592,0.189595738,-0.310333963,-1926.58,0,0.05,-0.79,0,-2.0179,-7.830554886
1440,南紡,0,-338074,-4.911399581,0.098145456,2.05,0,0,4.21,-0.07,-3.9402,-14.85351733
1441,大東,-0.04,20415,-1.181540897,-0.121362047,-4.27,0,0.08,-3.1,0.14,-1.4995,-5.86443358
1442,名軒,0,-222189,17.07149248,0.065664061,12.43,0.00808937,0.01,9.53,-0.03,1.4324,5.853885977
1443,立益物流,0,15811,4.584952314,-0.00510144,-0.98,0,0,-4.48,-0.03,0.7776,3.146868145
1444,力麗,-0.02,141441,-1.35197199,-0.08647315,-9.65,0,-0.02,-2.59,-0.11,0.1756,0.704252288
1445,大宇,0,26085,-23.23785166,-0.006286644,80.39,0,0.02,4.26,-0.03,1.1993,4.884191289
1446,宏和,0,-6998,-5.330445545,-0.017677466,0.15,0,0,0.87,-0.02,4.0492,17.20738637
1447,力鵬,-0.01,-465740,2.226686989,-0.61559993,-16.79,0,0,-5.14,-0.14,1.1033,4.486774941
1449,佳和,-0.01,-242561,1.811388767,0.440325394,24.98,0.50025,0.03,-3.2,-0.14,1.6992,6.972007602
1451,年興,-0.02,-176250,0.061906914,-0.075537982,-0.43,0,-0.01,-3.32,-0.05,-0.342,-1.360998147
1452,宏益,0.01,10832,-0.538808703,-0.001780556,477.78,0,-0.06,-1.87,-0.14,1.2398,5.052190886
1453,大將,-0.01,-7609,0.065686275,0,-448.28,0,0.04,91.48,0.03,0.8558,3.467394868
1454,台富,0,21232,48.03464203,-0.125676179,-16.19,0,-0.02,-1.86,-0.17,0.6177,2.493787617
1455,集盛,-0.01,103326,-3.075110959,-0.024041024,-17.83,0,0.02,0.81,-0.23,0.5317,2.143822499
1456,怡華,0,-232578,30.22690655,0.048066899,2.42,0,-0.01,6.36,-0.12,3.0859,12.92681195
1457,宜進,0,-64766,3.976640541,0.082549019,-12.41,0,-0.01,-3.64,-0.05,1.5618,6.395082933
1459,聯發,-0.01,25565,-1.507856731,-0.057846171,-42.19,0,0.02,1.4,-0.11,0.4487,1.806916077
1460,宏遠,-0.01,-84838,-0.440600294,-0.04082947,-4.65,0,0.01,-4.54,-0.13,0.0948,0.379739563
1463,強盛,0.02,51982,-0.098942624,0.014786167,-114.12,0,-0.02,10.24,0.1,2.4038,9.967484562
1464,得力,0,118385,0.50889648,-0.086957105,-2.79,0,-0.03,-0.38,-0.08,1.8864,7.761808066
1465,偉全,0,4157,-12.08533333,-0.013336659,-96.04,0,0.13,-0.55,-0.08,2.5917,10.77682294
1466,聚隆,0,174990,-16.03867308,-0.034801591,-7.28,0,0.03,2.02,0,14.1282,69.65703428
1467,南緯,-0.02,-105221,-0.337491028,0.126441551,4.34,0,0.01,-6.48,-0.26,4.1089,17.47661691
1468,昶和,0.01,69798,0.997824656,-0.005223127,1.91,0,-0.01,12.7,-0.02,1.5765,6.456694575
1470,大統新創,0.02,31357,0.624462519,-0.078358934,-104.7,0,-0.05,-1.81,-0.01,-1.717,-6.693130716
1471,首利,-0.04,-15078,-0.651834576,-0.129154017,-6.23,0,0.18,8.94,-0.22,1.0299,4.183679729
1472,三洋實業,-0.05,-2351,-0.963747109,-0.040531908,-11.6,0,0.05,-33.05,-0.2,-3.195,-12.18046015
1473,台南,0,-107621,-10.78017085,-0.008386151,12.87,0,-0.01,-0.39,0.04,0.8601,3.485041379
1474,弘裕,0,12612,2.610649871,0.130354023,7.31,0,0.01,2.94,-0.18,-0.9289,-3.664148545
1475,業旺,-0.04,-1039,-0.596504854,0.002434783,-6.35,0,0.5,13.98,-0.26,3.8572,16.34465582
1476,儒鴻,0.03,691048,-0.01077904,0.073186106,18.34,0,-0.16,-2.94,-0.22,-0.6768,-2.679840301
1477,聚陽,0.03,543892,0.273042192,-0.105072986,12.88,0,-0.1,-0.44,-0.23,0.054,0.216175023
1503,士電,0.01,547955,-0.028110833,-0.005461493,8.83,0,-0.03,0.74,0,2.3988,9.946008907
1504,東元,0.01,701083,0.023230867,0.009656589,-28.8,0,-0.03,0.87,-0.08,-2.1819,-8.446091017
1506,正道,-0.03,-7849,-0.895625,-0.026866978,-5.69,0,0.08,-6.16,-0.03,-4.2252,-15.85951423
1512,瑞利,-0.01,411,-1.011744199,-0.001602391,2.33,0,0.07,3.96,-0.11,6.7609,29.91189118
1513,中興電,0.01,-422081,-3.349371302,0.178311307,-3.97,0,-0.02,1.93,-0.1,9.1321,41.8436993
1514,亞力,0.02,-134836,-2.524552537,-0.016004998,3.68,0,-0.04,0.76,-0.01,0.0983,0.393780153
1515,力山,0.01,25665,-0.726764612,2.223969317,16.69,0,-0.06,-3.22,-0.3,8.8736,40.50453239
1516,川飛,0.02,-99399,-13.44977455,0,-13.34,0,-0.01,0.38,0.71,-1.8487,-7.192254133
1517,利奇,-0.01,1729,-1.071393179,-0.044362915,63.14,0,-0.01,-2.94,-0.18,8.0285,36.19256002
1519,華城,0,-249360,-59.64534337,-0.044304932,-11.56,0,-0.04,-0.42,-0.15,6.713,29.67889978
1521,大億,0.02,-72729,-2.13387484,-0.149845606,8.07,0,-0.08,-2.03,-0.22,-0.031,-0.123942352
1522,堤維西,0,155063,1.911981221,-0.025752458,-1.07,0,-0.02,-2.35,-0.12,0.8259,3.344752456
