code,name,ROA_now,CFO,CFO-NI,NCL_chg,CR_chg,CE_chg,ROA_chg,MR_chg,ATO_chg,return,annual_return
1101,台泥,0.05,20256968,-0.026996343,-0.009674735,16.57,0.050457504,0.02,1.32,0.01,-1.9491,-5.734070737
1102,亞泥,0.04,16106850,0.238098459,0.036318797,6.79,0,0.02,0.86,0.02,-0.1537,-0.460391652
1103,嘉泥,0,202007,0.434606917,0.001571786,97,0,0.02,-0.48,0,-1.1812,-3.501907802
1104,環泥,0.04,851821,-0.02308616,-0.007390491,3.54,0,0.02,0.6,0,-1.1678,-3.462646554
1108,幸福,0.04,569793,0.74001191,0.017766943,-24.75,0,0.01,-0.66,-0.01,3.8755,12.08290581
1109,信大,0.08,1316742,0.57870619,-0.230110199,41.33,0,0.03,-1.07,0.03,1.5033,4.578037059
1110,東泥,0,246992,38.20507937,-0.026925173,17.81,0,0,0.78,0,-0.8615,-2.562298472
1201,味全,0.02,957919,1.087392435,-0.008752828,2.38,0,0.01,0.83,0.08,-1.8803,-5.535498943
1203,味王,0.06,494713,-0.11690878,-0.011029535,16.13,0,0.02,0.5,0.01,-2.2913,-6.717601275
1210,大成,0.06,4607866,0.550320082,0.06750864,7.7,0,0.02,0.55,0.02,-0.0221,-0.066285349
1213,大飲,-0.01,-29625,1.969924812,-0.609281388,-169.12,0,0,6.37,0.08,12.7714,43.41577233
1215,卜蜂,0.06,1094049,-0.048278148,0.055337768,1.99,0,0.03,1.39,0,-0.0378,-0.11335714
1216,統一,0.05,50336577,1.109682138,0.014646113,4.95,0,0.02,0.22,0.03,-4.2355,-12.17591445
1217,愛之味,0.02,38839,-0.852348457,-0.006760958,5.75,0,0.01,-0.09,0.05,0.4068,1.225371319
1218,泰山,0.08,159353,-0.76776184,-0.410510915,20.4,0,0.04,1.47,0.09,-1.7589,-5.18443228
1219,福壽,0.02,482429,2.036092336,0.044634373,26.29,0,0.02,1.07,0.02,-1.9579,-5.759449364
1220,台榮,0.04,323602,1.628965562,0.011175177,174,0,0.02,0.19,0.09,-2.3067,-6.761701417
