code,name,ROA_now,CFO,CFO-NI,NCL_chg,CR_chg,CE_chg,ROA_chg,MR_chg,ATO_chg,return,annual_return
1101,台泥,0.04,12393450,-0.16312721,0.244237196,-3.7,0.027887766,0.01,-3.14,0,0.0008,0.002400019
1102,亞泥,0.04,9640536,-0.285234091,0.124528204,40.74,0.023364667,0.01,-1.98,0.01,-0.5607,-1.672686093
1103,嘉泥,0.01,-224370,-1.442746977,-0.011307402,-16.49,0,0.02,1.1,0,0.4773,1.438745332
1104,環泥,0.03,1159443,0.55278732,0.008048012,-12.01,0,0.01,-0.1,0,0.7006,2.116559599
1108,幸福,0.02,257749,0.516795151,-0.193089328,-4.7,0,0,-0.46,-0.03,1.3544,4.118480432
1109,信大,0.07,574571,-0.212856055,0.064832645,4.31,0,0.01,-4.05,-0.03,6.7819,21.75671781
1110,東泥,0.01,268787,1.898660599,-0.030401074,-0.1,0,0.01,-2.3,0,-0.8953,-2.661924901
1201,味全,0.02,709928,0.682892023,0.004249345,2.82,0,0.01,0.14,0.07,-1.1437,-3.392008111
1203,味王,0.06,540960,-0.032211319,0.006552479,-21.8,0,0.02,-0.86,0,1.1952,3.628625826
1210,大成,0.03,2216133,0.312591175,-0.146830661,0.19,0,0.01,-0.6,0.04,-0.7373,-2.195631742
1213,大飲,-0.06,-36780,-0.51507001,0.05024199,-7.57,0,-0.04,-3.38,0.04,1.4594,4.442406281
1215,卜蜂,0.05,489718,-0.530756052,0.171450388,-0.61,0,0.01,-0.77,-0.01,-0.5859,-1.747421748
1216,統一,0.05,34258777,0.508162572,0.027485021,8.5,0,0.02,-0.41,0.02,-0.8636,-2.568490259
1217,愛之味,0.02,-4001,-1.014479641,0.153428114,9.74,0,0.01,-0.73,0.04,0.0191,0.057310945
1218,泰山,0.04,-136212,-1.312643741,-0.0000695,-3.87,0,0.02,-0.11,0.1,2.5156,7.738239234
1219,福壽,0.03,-150626,-1.668554512,0.050898051,1.71,0,0,-1.79,0.04,0.4856,1.463885672
1220,台榮,0.05,281979,0.755893891,-0.006710516,-19.1,0,0.01,-2.31,0.05,0.8883,2.6886424
1225,福懋油,0.04,-195214,-1.537921875,-0.037710157,-9.05,0,0.01,-1.56,0.05,1.1253,3.414031499
1227,佳格,0.08,2208262,0.079327514,0.144118066,22.34,0,0.02,-0.73,0.05,-3.0802,-8.958893419
1229,聯華,0.07,1794402,-0.578795682,0.234066497,1.01,0,0.01,-5.1,-0.01,-0.4865,-1.452411047
1231,聯華食,0.06,502011,-0.059127482,0.039991795,9.11,0.100571007,0.02,0.44,0.02,-1.8357,-5.406624758
1232,大統益,0.14,-708801,-1.802829153,-0.003707728,94.14,0,0.03,-2.3,0.17,-0.3353,-1.002530987
1233,天仁,0,83777,-18.38112033,-0.110047025,-3.37,0,0,-1.26,0.01,1.7663,5.393045524
1234,黑松,0.02,369349,-0.312642134,0.027050559,-95.61,0,0.01,2.31,0.01,-0.2829,-0.846301292
1235,興泰,0.02,-1328,-1.015267,-0.05011108,-118.26,0,0.03,87.06,0.01,0.1145,0.343893458
1236,宏亞,-0.01,107536,-5.271030265,0.026578051,-0.39,0,-0.01,-0.79,-0.01,15.1286,52.59829127
1301,台塑,0.1,44640793,-0.181993666,0.099606755,74,0,0.03,-1.35,0,0.0022,0.006600145
1303,南亞,0.1,55463128,-0.165044514,0.152515181,51.15,0,0.04,0.17,0.02,0.7121,2.151548702
1304,台聚,0.09,5754997,-0.193328946,-0.014806229,2.55,0,0.03,-1.87,0.02,0.3323,1.000216368
