code,name,ROA_now,CFO,CFO-NI,NCL_chg,CR_chg,CE_chg,ROA_chg,MR_chg,ATO_chg,return,annual_return
1101,台泥,0.04,18972370,-0.030949605,0.190616483,6.88,0.000270103,0.01,-0.21,0,-0.9032,-5.298298125
1102,亞泥,0.06,8596708,-0.521385183,-0.135697183,-23.03,0.028877901,0.01,-0.2,0.02,-2.2392,-12.70517854
1103,嘉泥,0.01,-194716,-1.554488941,-0.018079091,-17.18,0,0,1.21,0,-0.2663,-1.587200341
1104,環泥,0.04,1382211,0.239145461,-0.015911181,-9.48,0,0.01,0.74,0.01,2.8292,18.22211982
1108,幸福,0.03,82123,-0.669385455,-0.525471953,-24.85,0,0.01,1.57,-0.02,0,0
1109,信大,0.1,1154211,-0.015495016,-0.098343375,-10.4,0,0.03,1.03,0.03,0.7348,4.490587524
1110,東泥,0.01,266604,1.302717269,-0.023233596,-6.52,0,0,1.08,0,-0.7492,-4.411841245
1201,味全,0.03,1140390,0.977636076,-0.129111953,-6.63,0,0.01,-0.29,0.03,-1.7622,-10.11819853
1203,味王,0.07,965070,0.379875863,0.020944191,1.82,0,0.01,-0.14,-0.02,1.2037,7.443053761
1210,大成,0.04,4281668,0.856263272,0.00934345,-1.34,0,0.01,-0.08,-0.04,0.2626,1.585980103
1213,大飲,-0.08,-27646,-0.702404788,-0.022392821,-8.58,0,-0.02,-0.34,-0.01,-6.0444,-31.2083032
1215,卜蜂,0.06,699277,-0.468576753,0.308965288,19.16,0,0.01,-0.68,0.01,0.0083,0.049810335
1216,統一,0.05,56352926,1.033041798,0.020235986,3.62,0,0.01,-0.51,-0.01,2.2453,14.25102927
1217,愛之味,0.02,119342,-0.432680012,0.31944072,19.24,0,0,-1.03,-0.02,-3.4446,-18.967469
1218,泰山,0.05,-273551,-1.47074929,0.54026869,20.94,0,0.01,-0.3,-0.04,-4.5412,-24.33486285
1219,福壽,0.03,-105461,-1.357399205,-0.086607375,-15.32,0,0.01,-0.39,0.04,-2.5484,-14.34872276
1220,台榮,0.06,265395,0.371685075,0.04273758,-72.06,0,0.01,-1.41,0.03,-3.0921,-17.17621094
1225,福懋油,0.05,-599414,-2.231216378,0.182617447,1.65,0,0.01,-0.28,-0.02,-1.6337,-9.410468103
1227,佳格,0.09,3809059,0.485583743,-0.046762304,-5.29,0,0.02,-1.42,0.04,-0.1982,-1.183323063
1229,聯華,0.07,1925028,-0.594232066,-0.092238891,-0.69,0.099999977,0,-4.37,0,1.2309,7.616431735
1231,聯華食,0.08,1031835,0.325695234,-0.022399705,7.75,0,0.03,-0.04,0.03,-5.2722,-27.74553211
1232,大統益,0.18,286183,-0.768971572,-0.120698757,-18.5,0,0.04,-0.03,0,0.3294,1.992747314
1233,天仁,0.01,104428,5.072101407,-0.033381168,1.7,0,0.01,0.58,0.01,2.5541,16.33708187
1234,黑松,0.03,1104530,0.388099242,0.01121741,49.35,0,0.01,-0.18,0.01,0.5578,3.39381969
1235,興泰,0.02,29163,-0.643453596,0.027248142,15.88,0,0,-12.47,0,-7.2835,-36.47536575
1236,宏亞,-0.01,165000,-7.004803843,-0.012894266,-9.01,0,0,0.44,-0.05,2.1503,13.61557704
1301,台塑,0.13,57859343,-0.190023034,-0.19597115,-48.11,0,0.03,-0.06,0,-0.4661,-2.764214432
1303,南亞,0.13,78876308,-0.073299942,-0.008749461,2.74,0,0.03,-0.67,0,3.0487,19.74437019
1304,台聚,0.12,8933169,-0.08910975,0.010905821,28.14,0,0.03,0.84,0.02,-0.9756,-5.712674303
1305,華夏,0.16,2206421,-0.177317306,0.33613953,72.66,0,0.04,-0.48,0.02,1.0658,6.567630231
1307,三芳,0.01,-485106,-5.070774033,0.002546493,8.9,0,0,-1.2,0.01,0.7454,4.556576139
1308,亞聚,0.16,2746534,-0.076539829,-0.031700579,66.55,0,0.05,2.64,0.04,-0.6807,-4.015324723
1309,台達化,0.17,736221,-0.6019151,0.751743606,61.67,0,0.04,-0.07,0,0.6803,4.151854132
1310,台苯,0.01,-365095,-4.541104925,0.00621572,-36.81,0,-0.02,-2.94,-0.01,0.3082,1.863506772
1312,國喬,0.12,4449142,-0.268095028,0.599093117,-34.9,0,0,-2.28,-0.03,1.784,11.19290714
1313,聯成,0.04,-53139,-1.024543212,0.029484268,14.3,0.011087947,-0.02,-2.93,0.04,-0.6103,-3.606382643
1314,中石化,0,-29660642,-51.53187136,-0.044042046,-110.78,0.152213943,-0.01,-1.2,-0.02,0,0
1315,達新,0,214373,35.02302134,0.035641003,177.96,0,0,-0.04,0,-0.2519,-1.501913866
1316,上曜,-0.02,-447086,1.162144125,0.251930942,20.69,0.238586999,-0.01,-2.93,0,1.2145,7.511867131
1319,東陽,0.02,3886318,5.126553583,-0.080666457,-4.1,0,0,-0.43,0.01,0.7031,4.293451272
1321,大洋,0.01,370861,1.090405894,0.018974536,-11.87,0,0,1.1,0,0.597,3.635888812
1323,永裕,0.06,371803,0.08431834,-0.042020484,-75.16,0,0.01,-0.51,0.02,0.1421,0.855634606
1324,地球,0,-30940,-76.64792176,0.070028011,-3.81,0,0.01,0.29,0.01,-0.4662,-2.764800577
1325,恒大,0.09,-4927,-1.017739485,-0.10097757,410.34,0,0,-4.61,-0.05,-2.228,-12.64515558
1326,台化,0.07,38729208,-0.094981158,-0.000122481,-14.51,0,0.01,-1.97,0.01,0.3665,2.219247067
1339,昭輝,0.02,428774,4.644213935,-0.060845109,2.21,0,0.01,-0.28,0,-0.5186,-3.071535974
1342,八貫,0.11,30626,-0.884869423,0.023163644,-0.3,0,0.03,0.17,0.05,-0.9193,-5.390576276
1402,遠東新,0.02,36377780,1.617980956,0.07217427,14.26,0,0,-0.48,0.01,-3.8407,-20.94164763
1409,新纖,0.02,-2558379,-1.522109319,0.038847277,-0.36,0,0,-0.17,-0.01,1.0211,6.285142445
1410,南染,0.06,92262,0.060226842,-0.00975655,161.13,0,0.02,0.47,0,-0.9358,-5.485069294
1413,宏洲,0.04,330183,2.201153716,0.241728403,29.59,0,0.01,0.65,0.03,0.3005,1.81659943
1414,東和,0.03,219701,0.551221131,0.000924107,2.4,0,0.01,1.28,0,0.878,5.384995218
